spot	ypos	xpos
5x8	8	5
6x8	8	6
6x9	9	6
6x10	10	6
7x7	7	7
7x8	8	7
7x9	9	7
7x10	10	7
7x11	11	7
7x12	12	7
8x7	7	8
8x8	8	8
8x9	9	8
8x10	10	8
8x11	11	8
8x12	12	8
8x13	13	8
8x14	14	8
9x6	6	9
9x7	7	9
9x8	8	9
9x9	9	9
9x10	10	9
9x11	11	9
9x12	12	9
9x13	13	9
9x14	14	9
9x15	15	9
9x16	16	9
9x17	17	9
10x6	6	10
10x7	7	10
10x8	8	10
10x9	9	10
10x10	10	10
10x11	11	10
10x12	12	10
10x13	13	10
10x15	15	10
10x16	16	10
10x17	17	10
10x18	18	10
10x19	19	10
11x6	6	11
11x7	7	11
11x8	8	11
11x9	9	11
11x10	10	11
11x11	11	11
11x12	12	11
11x13	13	11
11x14	14	11
11x15	15	11
11x16	16	11
11x17	17	11
11x18	18	11
11x19	19	11
11x20	20	11
12x6	6	12
12x7	7	12
12x8	8	12
12x9	9	12
12x10	10	12
12x11	11	12
12x12	12	12
12x13	13	12
12x14	14	12
12x15	15	12
12x16	16	12
12x17	17	12
12x18	18	12
12x19	19	12
12x20	20	12
12x21	21	12
12x22	22	12
12x23	23	12
12x24	24	12
13x6	6	13
13x7	7	13
13x8	8	13
13x9	9	13
13x10	10	13
13x11	11	13
13x12	12	13
13x13	13	13
13x14	14	13
13x15	15	13
13x16	16	13
13x17	17	13
13x18	18	13
13x19	19	13
13x20	20	13
13x21	21	13
13x22	22	13
13x23	23	13
13x24	24	13
13x25	25	13
13x26	26	13
13x27	27	13
14x6	6	14
14x7	7	14
14x8	8	14
14x9	9	14
14x10	10	14
14x11	11	14
14x12	12	14
14x13	13	14
14x14	14	14
14x15	15	14
14x16	16	14
14x17	17	14
14x18	18	14
14x19	19	14
14x20	20	14
14x21	21	14
14x22	22	14
14x23	23	14
14x24	24	14
14x25	25	14
14x26	26	14
14x27	27	14
15x6	6	15
15x7	7	15
15x8	8	15
15x9	9	15
15x10	10	15
15x11	11	15
15x12	12	15
15x13	13	15
15x14	14	15
15x15	15	15
15x16	16	15
15x17	17	15
15x18	18	15
15x19	19	15
15x20	20	15
15x21	21	15
15x23	23	15
15x24	24	15
15x25	25	15
15x26	26	15
15x27	27	15
16x6	6	16
16x7	7	16
16x8	8	16
16x9	9	16
16x10	10	16
16x11	11	16
16x12	12	16
16x13	13	16
16x14	14	16
16x15	15	16
16x16	16	16
16x17	17	16
16x18	18	16
16x19	19	16
16x20	20	16
16x21	21	16
16x22	22	16
16x23	23	16
16x24	24	16
16x25	25	16
16x26	26	16
17x6	6	17
17x7	7	17
17x8	8	17
17x9	9	17
17x10	10	17
17x11	11	17
17x12	12	17
17x13	13	17
17x14	14	17
17x15	15	17
17x16	16	17
17x17	17	17
17x18	18	17
17x19	19	17
17x20	20	17
17x21	21	17
17x22	22	17
17x23	23	17
17x24	24	17
17x25	25	17
17x26	26	17
18x8	8	18
18x9	9	18
18x10	10	18
18x11	11	18
18x12	12	18
18x13	13	18
18x14	14	18
18x15	15	18
18x16	16	18
18x17	17	18
18x18	18	18
18x19	19	18
18x20	20	18
18x21	21	18
18x22	22	18
18x23	23	18
18x24	24	18
18x25	25	18
19x8	8	19
19x9	9	19
19x10	10	19
19x11	11	19
19x12	12	19
19x13	13	19
19x14	14	19
19x15	15	19
19x16	16	19
19x17	17	19
19x18	18	19
19x19	19	19
19x20	20	19
19x22	22	19
19x23	23	19
19x24	24	19
19x25	25	19
20x9	9	20
20x10	10	20
20x11	11	20
20x12	12	20
20x13	13	20
20x14	14	20
20x15	15	20
20x16	16	20
20x17	17	20
20x18	18	20
20x19	19	20
20x20	20	20
20x21	21	20
20x22	22	20
20x23	23	20
20x24	24	20
21x10	10	21
21x11	11	21
21x12	12	21
21x13	13	21
21x14	14	21
21x15	15	21
21x16	16	21
21x17	17	21
21x18	18	21
21x19	19	21
21x20	20	21
21x21	21	21
21x22	22	21
21x23	23	21
22x16	16	22
22x17	17	22
22x18	18	22
22x19	19	22
22x20	20	22
22x21	21	22
22x22	22	22
