spot	ypos	xpos
7x17	17	7
7x18	18	7
7x19	19	7
7x20	20	7
7x21	21	7
7x22	22	7
7x23	23	7
7x24	24	7
7x25	25	7
8x15	15	8
8x16	16	8
8x17	17	8
8x18	18	8
8x19	19	8
8x20	20	8
8x21	21	8
8x22	22	8
8x23	23	8
8x24	24	8
8x25	25	8
8x26	26	8
8x27	27	8
9x14	14	9
9x15	15	9
9x16	16	9
9x17	17	9
9x18	18	9
9x19	19	9
9x20	20	9
9x21	21	9
9x22	22	9
9x23	23	9
9x24	24	9
9x25	25	9
9x26	26	9
9x27	27	9
9x28	28	9
10x13	13	10
10x15	15	10
10x16	16	10
10x17	17	10
10x18	18	10
10x19	19	10
10x20	20	10
10x21	21	10
10x22	22	10
10x23	23	10
10x24	24	10
10x25	25	10
10x26	26	10
10x27	27	10
10x28	28	10
10x29	29	10
11x13	13	11
11x14	14	11
11x15	15	11
11x16	16	11
11x17	17	11
11x18	18	11
11x19	19	11
11x20	20	11
11x21	21	11
11x22	22	11
11x23	23	11
11x24	24	11
11x25	25	11
11x26	26	11
11x27	27	11
11x28	28	11
12x12	12	12
12x13	13	12
12x14	14	12
12x15	15	12
12x16	16	12
12x17	17	12
12x18	18	12
12x19	19	12
12x20	20	12
12x21	21	12
12x22	22	12
12x23	23	12
12x24	24	12
12x25	25	12
12x26	26	12
12x27	27	12
12x28	28	12
13x12	12	13
13x13	13	13
13x14	14	13
13x15	15	13
13x16	16	13
13x17	17	13
13x18	18	13
13x19	19	13
13x20	20	13
13x21	21	13
13x22	22	13
13x23	23	13
13x24	24	13
13x25	25	13
13x26	26	13
13x27	27	13
14x12	12	14
14x13	13	14
14x14	14	14
14x15	15	14
14x16	16	14
14x17	17	14
14x18	18	14
14x19	19	14
14x20	20	14
14x21	21	14
14x22	22	14
14x23	23	14
14x24	24	14
14x25	25	14
14x26	26	14
14x27	27	14
15x11	11	15
15x12	12	15
15x13	13	15
15x14	14	15
15x15	15	15
15x16	16	15
15x17	17	15
15x18	18	15
15x19	19	15
15x20	20	15
15x21	21	15
15x23	23	15
15x24	24	15
15x25	25	15
15x26	26	15
15x27	27	15
16x11	11	16
16x12	12	16
16x13	13	16
16x14	14	16
16x15	15	16
16x16	16	16
16x17	17	16
16x18	18	16
16x19	19	16
16x20	20	16
16x21	21	16
16x22	22	16
16x23	23	16
16x24	24	16
16x25	25	16
16x26	26	16
17x11	11	17
17x12	12	17
17x13	13	17
17x14	14	17
17x15	15	17
17x16	16	17
17x17	17	17
17x18	18	17
17x19	19	17
17x20	20	17
17x21	21	17
17x22	22	17
17x23	23	17
17x24	24	17
17x25	25	17
17x26	26	17
18x11	11	18
18x12	12	18
18x13	13	18
18x14	14	18
18x15	15	18
18x16	16	18
18x17	17	18
18x18	18	18
18x19	19	18
18x20	20	18
18x21	21	18
18x22	22	18
18x23	23	18
18x24	24	18
18x25	25	18
19x11	11	19
19x12	12	19
19x13	13	19
19x14	14	19
19x15	15	19
19x16	16	19
19x17	17	19
19x18	18	19
19x19	19	19
19x20	20	19
19x21	21	19
19x22	22	19
19x23	23	19
19x24	24	19
19x25	25	19
20x11	11	20
20x12	12	20
20x13	13	20
20x14	14	20
20x15	15	20
20x16	16	20
20x17	17	20
20x18	18	20
20x19	19	20
20x20	20	20
20x21	21	20
20x22	22	20
20x23	23	20
20x24	24	20
21x11	11	21
21x12	12	21
21x13	13	21
21x14	14	21
21x15	15	21
21x16	16	21
21x17	17	21
21x18	18	21
21x19	19	21
21x20	20	21
21x21	21	21
21x22	22	21
21x23	23	21
21x24	24	21
22x11	11	22
22x12	12	22
22x13	13	22
22x14	14	22
22x15	15	22
22x16	16	22
22x17	17	22
22x18	18	22
22x19	19	22
22x20	20	22
22x21	21	22
22x22	22	22
22x23	23	22
23x11	11	23
23x12	12	23
23x13	13	23
23x14	14	23
23x15	15	23
23x16	16	23
23x17	17	23
23x18	18	23
23x19	19	23
23x20	20	23
23x21	21	23
23x22	22	23
23x23	23	23
24x12	12	24
24x13	13	24
24x14	14	24
24x15	15	24
24x16	16	24
24x17	17	24
24x18	18	24
24x19	19	24
24x20	20	24
24x21	21	24
24x22	22	24
25x13	13	25
25x14	14	25
25x15	15	25
25x16	16	25
25x17	17	25
25x18	18	25
25x19	19	25
25x20	20	25
25x21	21	25
25x22	22	25
26x14	14	26
26x15	15	26
26x16	16	26
26x17	17	26
26x18	18	26
26x19	19	26
26x20	20	26
26x21	21	26
27x15	15	27
27x16	16	27
27x17	17	27
27x18	18	27
27x19	19	27
27x20	20	27
27x21	21	27
28x16	16	28
28x17	17	28
28x18	18	28
28x19	19	28
28x20	20	28
29x18	18	29
29x19	19	29
29x20	20	29
