spot	ypos	xpos
2x13	13	2
2x14	14	2
2x15	15	2
2x16	16	2
2x17	17	2
2x18	18	2
2x19	19	2
2x20	20	2
2x21	21	2
2x22	22	2
2x23	23	2
2x24	24	2
3x12	12	3
3x13	13	3
3x14	14	3
3x15	15	3
3x16	16	3
3x17	17	3
3x18	18	3
3x19	19	3
3x20	20	3
3x21	21	3
3x22	22	3
3x23	23	3
3x24	24	3
3x25	25	3
4x11	11	4
4x12	12	4
4x13	13	4
4x14	14	4
4x15	15	4
4x16	16	4
4x17	17	4
4x18	18	4
4x19	19	4
4x20	20	4
4x21	21	4
4x22	22	4
4x23	23	4
4x24	24	4
4x25	25	4
5x11	11	5
5x12	12	5
5x13	13	5
5x14	14	5
5x15	15	5
5x16	16	5
5x17	17	5
5x18	18	5
5x19	19	5
5x20	20	5
5x21	21	5
5x22	22	5
5x23	23	5
5x24	24	5
5x25	25	5
5x26	26	5
6x9	9	6
6x10	10	6
6x11	11	6
6x12	12	6
6x13	13	6
6x14	14	6
6x15	15	6
6x16	16	6
6x17	17	6
6x18	18	6
6x19	19	6
6x20	20	6
6x21	21	6
6x22	22	6
6x23	23	6
6x24	24	6
6x25	25	6
6x26	26	6
7x8	8	7
7x9	9	7
7x10	10	7
7x11	11	7
7x12	12	7
7x13	13	7
7x14	14	7
7x15	15	7
7x16	16	7
7x17	17	7
7x18	18	7
7x19	19	7
7x20	20	7
7x21	21	7
7x22	22	7
7x23	23	7
7x24	24	7
7x25	25	7
7x26	26	7
8x8	8	8
8x9	9	8
8x10	10	8
8x11	11	8
8x12	12	8
8x13	13	8
8x14	14	8
8x15	15	8
8x16	16	8
8x17	17	8
8x18	18	8
8x19	19	8
8x20	20	8
8x21	21	8
8x22	22	8
8x23	23	8
8x24	24	8
8x25	25	8
8x26	26	8
9x8	8	9
9x9	9	9
9x10	10	9
9x11	11	9
9x12	12	9
9x13	13	9
9x14	14	9
9x15	15	9
9x16	16	9
9x17	17	9
9x18	18	9
9x19	19	9
9x20	20	9
9x21	21	9
9x22	22	9
9x23	23	9
9x24	24	9
9x25	25	9
9x26	26	9
10x8	8	10
10x9	9	10
10x10	10	10
10x11	11	10
10x12	12	10
10x13	13	10
10x15	15	10
10x16	16	10
10x17	17	10
10x18	18	10
10x19	19	10
10x20	20	10
10x21	21	10
10x22	22	10
10x23	23	10
10x24	24	10
10x25	25	10
10x26	26	10
11x8	8	11
11x9	9	11
11x10	10	11
11x11	11	11
11x12	12	11
11x13	13	11
11x14	14	11
11x15	15	11
11x16	16	11
11x17	17	11
11x18	18	11
11x19	19	11
11x20	20	11
11x21	21	11
11x22	22	11
11x23	23	11
11x24	24	11
11x25	25	11
11x26	26	11
12x8	8	12
12x9	9	12
12x10	10	12
12x11	11	12
12x12	12	12
12x13	13	12
12x14	14	12
12x15	15	12
12x16	16	12
12x17	17	12
12x18	18	12
12x19	19	12
12x20	20	12
12x21	21	12
12x22	22	12
12x23	23	12
12x24	24	12
12x25	25	12
12x26	26	12
13x8	8	13
13x9	9	13
13x10	10	13
13x11	11	13
13x12	12	13
13x13	13	13
13x14	14	13
13x15	15	13
13x16	16	13
13x17	17	13
13x18	18	13
13x19	19	13
13x20	20	13
13x21	21	13
13x22	22	13
13x23	23	13
13x24	24	13
13x25	25	13
13x26	26	13
13x27	27	13
14x8	8	14
14x9	9	14
14x10	10	14
14x11	11	14
14x12	12	14
14x13	13	14
14x14	14	14
14x15	15	14
14x16	16	14
14x17	17	14
14x18	18	14
14x19	19	14
14x20	20	14
14x21	21	14
14x22	22	14
14x23	23	14
14x24	24	14
14x25	25	14
14x26	26	14
14x27	27	14
15x8	8	15
15x9	9	15
15x10	10	15
15x11	11	15
15x12	12	15
15x13	13	15
15x14	14	15
15x15	15	15
15x16	16	15
15x17	17	15
15x18	18	15
15x19	19	15
15x20	20	15
15x21	21	15
15x23	23	15
15x24	24	15
15x25	25	15
15x26	26	15
15x27	27	15
16x9	9	16
16x10	10	16
16x11	11	16
16x12	12	16
16x13	13	16
16x14	14	16
16x15	15	16
16x16	16	16
16x17	17	16
16x18	18	16
16x19	19	16
16x20	20	16
16x21	21	16
16x22	22	16
16x23	23	16
16x24	24	16
16x25	25	16
16x26	26	16
16x27	27	16
17x10	10	17
17x11	11	17
17x12	12	17
17x13	13	17
17x14	14	17
17x15	15	17
17x16	16	17
