spot	ypos	xpos
2x17	17	2
2x18	18	2
2x19	19	2
2x20	20	2
2x21	21	2
2x22	22	2
2x23	23	2
3x17	17	3
3x18	18	3
3x19	19	3
3x20	20	3
3x21	21	3
3x22	22	3
3x23	23	3
3x24	24	3
4x16	16	4
4x17	17	4
4x18	18	4
4x19	19	4
4x20	20	4
4x21	21	4
4x22	22	4
4x23	23	4
4x24	24	4
5x14	14	5
5x15	15	5
5x16	16	5
5x17	17	5
5x18	18	5
5x19	19	5
5x20	20	5
5x21	21	5
5x22	22	5
5x23	23	5
5x24	24	5
5x25	25	5
6x14	14	6
6x15	15	6
6x16	16	6
6x17	17	6
6x18	18	6
6x19	19	6
6x20	20	6
6x21	21	6
6x22	22	6
6x23	23	6
6x24	24	6
6x25	25	6
6x26	26	6
7x14	14	7
7x15	15	7
7x16	16	7
7x17	17	7
7x18	18	7
7x19	19	7
7x20	20	7
7x21	21	7
7x22	22	7
7x23	23	7
7x24	24	7
7x25	25	7
7x26	26	7
7x27	27	7
8x14	14	8
8x15	15	8
8x16	16	8
8x17	17	8
8x18	18	8
8x19	19	8
8x20	20	8
8x21	21	8
8x22	22	8
8x23	23	8
8x24	24	8
8x25	25	8
8x26	26	8
8x27	27	8
8x28	28	8
8x29	29	8
9x14	14	9
9x15	15	9
9x16	16	9
9x17	17	9
9x18	18	9
9x19	19	9
9x20	20	9
9x21	21	9
9x22	22	9
9x23	23	9
9x24	24	9
9x25	25	9
9x26	26	9
9x27	27	9
9x28	28	9
9x29	29	9
9x30	30	9
9x31	31	9
10x15	15	10
10x16	16	10
10x17	17	10
10x18	18	10
10x19	19	10
10x20	20	10
10x21	21	10
10x22	22	10
10x23	23	10
10x24	24	10
10x25	25	10
10x26	26	10
10x27	27	10
10x28	28	10
10x29	29	10
10x30	30	10
10x31	31	10
10x32	32	10
11x15	15	11
11x16	16	11
11x17	17	11
11x18	18	11
11x19	19	11
11x20	20	11
11x21	21	11
11x22	22	11
11x23	23	11
11x24	24	11
11x25	25	11
11x26	26	11
11x27	27	11
11x28	28	11
11x29	29	11
11x30	30	11
11x31	31	11
11x32	32	11
11x33	33	11
12x15	15	12
12x16	16	12
12x17	17	12
12x18	18	12
12x19	19	12
12x20	20	12
12x21	21	12
12x22	22	12
12x23	23	12
12x24	24	12
12x25	25	12
12x26	26	12
12x27	27	12
12x28	28	12
12x29	29	12
12x30	30	12
12x31	31	12
12x32	32	12
12x33	33	12
13x15	15	13
13x16	16	13
13x17	17	13
13x18	18	13
13x19	19	13
13x20	20	13
13x21	21	13
13x22	22	13
13x23	23	13
13x24	24	13
13x25	25	13
13x26	26	13
13x27	27	13
13x28	28	13
13x29	29	13
13x30	30	13
13x31	31	13
13x32	32	13
13x33	33	13
14x16	16	14
14x17	17	14
14x18	18	14
14x19	19	14
14x20	20	14
14x21	21	14
14x22	22	14
14x23	23	14
14x24	24	14
14x25	25	14
14x26	26	14
14x27	27	14
14x28	28	14
14x29	29	14
14x30	30	14
14x31	31	14
14x32	32	14
14x33	33	14
15x16	16	15
15x17	17	15
15x18	18	15
15x19	19	15
15x20	20	15
15x21	21	15
15x23	23	15
15x24	24	15
15x25	25	15
15x26	26	15
15x27	27	15
15x28	28	15
15x29	29	15
15x30	30	15
15x31	31	15
15x32	32	15
15x33	33	15
16x16	16	16
16x17	17	16
16x18	18	16
16x19	19	16
16x20	20	16
16x21	21	16
16x22	22	16
16x23	23	16
16x24	24	16
16x25	25	16
16x26	26	16
16x27	27	16
16x28	28	16
16x29	29	16
16x30	30	16
16x31	31	16
16x32	32	16
16x33	33	16
17x16	16	17
17x17	17	17
17x18	18	17
17x19	19	17
17x20	20	17
17x21	21	17
17x22	22	17
17x23	23	17
17x24	24	17
17x25	25	17
17x26	26	17
17x27	27	17
17x28	28	17
17x29	29	17
17x30	30	17
17x31	31	17
17x32	32	17
17x33	33	17
18x16	16	18
18x17	17	18
18x18	18	18
18x19	19	18
18x20	20	18
18x21	21	18
18x22	22	18
18x23	23	18
18x24	24	18
18x25	25	18
18x26	26	18
18x27	27	18
18x28	28	18
18x29	29	18
18x30	30	18
18x31	31	18
18x32	32	18
18x33	33	18
19x16	16	19
19x17	17	19
19x18	18	19
19x19	19	19
19x20	20	19
19x21	21	19
19x22	22	19
19x23	23	19
19x24	24	19
19x25	25	19
19x26	26	19
19x27	27	19
19x28	28	19
19x29	29	19
19x30	30	19
19x31	31	19
19x32	32	19
19x33	33	19
20x16	16	20
20x17	17	20
20x18	18	20
20x19	19	20
20x20	20	20
20x21	21	20
20x22	22	20
20x23	23	20
20x24	24	20
20x25	25	20
20x26	26	20
20x27	27	20
20x28	28	20
20x29	29	20
20x30	30	20
20x31	31	20
20x32	32	20
21x17	17	21
21x18	18	21
21x19	19	21
21x20	20	21
21x21	21	21
21x22	22	21
21x23	23	21
21x24	24	21
21x25	25	21
21x26	26	21
21x27	27	21
21x28	28	21
21x29	29	21
21x30	30	21
21x31	31	21
22x17	17	22
22x18	18	22
22x19	19	22
22x20	20	22
22x21	21	22
22x22	22	22
22x23	23	22
22x24	24	22
22x25	25	22
22x26	26	22
22x27	27	22
22x28	28	22
22x29	29	22
22x30	30	22
22x31	31	22
23x18	18	23
23x19	19	23
23x20	20	23
23x21	21	23
23x22	22	23
23x23	23	23
23x24	24	23
23x25	25	23
23x26	26	23
23x27	27	23
23x28	28	23
23x29	29	23
23x30	30	23
24x18	18	24
24x19	19	24
24x20	20	24
24x21	21	24
24x22	22	24
24x23	23	24
24x24	24	24
24x25	25	24
24x26	26	24
24x27	27	24
24x28	28	24
24x29	29	24
25x19	19	25
25x20	20	25
25x21	21	25
25x22	22	25
25x23	23	25
25x24	24	25
25x25	25	25
25x26	26	25
25x27	27	25
25x28	28	25
25x29	29	25
26x20	20	26
26x21	21	26
26x22	22	26
26x23	23	26
26x24	24	26
26x25	25	26
26x26	26	26
26x27	27	26
26x28	28	26
26x29	29	26
27x20	20	27
27x21	21	27
27x22	22	27
27x23	23	27
27x24	24	27
27x25	25	27
27x26	26	27
27x27	27	27
