spot	ypos	xpos
7x15	15	7
7x16	16	7
7x17	17	7
7x18	18	7
8x13	13	8
8x14	14	8
8x15	15	8
8x16	16	8
8x17	17	8
8x18	18	8
8x19	19	8
9x13	13	9
9x14	14	9
9x15	15	9
9x16	16	9
9x17	17	9
9x18	18	9
10x13	13	10
10x15	15	10
10x16	16	10
10x17	17	10
10x18	18	10
11x12	12	11
11x13	13	11
11x14	14	11
11x15	15	11
11x16	16	11
11x17	17	11
12x12	12	12
12x13	13	12
12x14	14	12
12x15	15	12
12x16	16	12
12x17	17	12
13x11	11	13
13x12	12	13
13x13	13	13
13x14	14	13
13x15	15	13
13x16	16	13
13x17	17	13
13x18	18	13
14x7	7	14
14x8	8	14
14x9	9	14
14x10	10	14
14x11	11	14
14x12	12	14
14x13	13	14
14x14	14	14
14x15	15	14
14x16	16	14
14x17	17	14
14x18	18	14
15x5	5	15
15x6	6	15
15x7	7	15
15x8	8	15
15x9	9	15
15x10	10	15
15x11	11	15
15x12	12	15
15x13	13	15
15x14	14	15
15x15	15	15
15x16	16	15
15x17	17	15
15x18	18	15
16x3	3	16
16x4	4	16
16x5	5	16
16x6	6	16
16x7	7	16
16x8	8	16
16x9	9	16
16x10	10	16
16x11	11	16
16x12	12	16
16x13	13	16
16x14	14	16
16x15	15	16
16x16	16	16
16x17	17	16
16x18	18	16
16x19	19	16
17x4	4	17
17x5	5	17
17x6	6	17
17x7	7	17
17x8	8	17
17x9	9	17
17x10	10	17
17x11	11	17
17x12	12	17
17x13	13	17
17x14	14	17
17x15	15	17
17x16	16	17
17x17	17	17
17x18	18	17
17x19	19	17
17x20	20	17
17x21	21	17
18x4	4	18
18x5	5	18
18x6	6	18
18x7	7	18
18x8	8	18
18x9	9	18
18x10	10	18
18x11	11	18
18x12	12	18
18x13	13	18
18x14	14	18
18x15	15	18
18x16	16	18
18x17	17	18
18x18	18	18
18x19	19	18
18x20	20	18
18x21	21	18
18x22	22	18
18x23	23	18
18x24	24	18
19x4	4	19
19x5	5	19
19x6	6	19
19x7	7	19
19x8	8	19
19x9	9	19
19x10	10	19
19x11	11	19
19x12	12	19
19x13	13	19
19x14	14	19
19x15	15	19
19x16	16	19
19x17	17	19
19x18	18	19
19x19	19	19
19x20	20	19
19x21	21	19
19x22	22	19
19x23	23	19
19x24	24	19
19x25	25	19
19x26	26	19
19x27	27	19
19x28	28	19
20x5	5	20
20x6	6	20
20x7	7	20
20x8	8	20
20x9	9	20
20x10	10	20
20x11	11	20
20x12	12	20
20x13	13	20
20x14	14	20
20x15	15	20
20x16	16	20
20x17	17	20
20x18	18	20
20x19	19	20
20x20	20	20
20x21	21	20
20x22	22	20
20x23	23	20
20x24	24	20
20x25	25	20
20x26	26	20
20x27	27	20
20x28	28	20
21x6	6	21
21x7	7	21
21x8	8	21
21x9	9	21
21x10	10	21
21x11	11	21
21x12	12	21
21x13	13	21
21x14	14	21
21x15	15	21
21x16	16	21
21x17	17	21
21x18	18	21
21x19	19	21
21x20	20	21
21x21	21	21
21x22	22	21
21x23	23	21
21x24	24	21
21x25	25	21
21x26	26	21
21x27	27	21
21x28	28	21
22x6	6	22
22x7	7	22
22x8	8	22
22x9	9	22
22x10	10	22
22x11	11	22
22x12	12	22
22x13	13	22
22x14	14	22
22x15	15	22
22x16	16	22
22x17	17	22
22x18	18	22
22x19	19	22
22x20	20	22
22x21	21	22
22x22	22	22
22x23	23	22
22x24	24	22
22x25	25	22
22x26	26	22
22x27	27	22
23x7	7	23
23x8	8	23
23x9	9	23
23x10	10	23
23x11	11	23
23x12	12	23
23x13	13	23
23x14	14	23
23x15	15	23
23x16	16	23
23x17	17	23
23x18	18	23
23x19	19	23
23x20	20	23
23x21	21	23
23x22	22	23
23x23	23	23
23x24	24	23
23x25	25	23
23x26	26	23
24x8	8	24
24x9	9	24
24x10	10	24
24x11	11	24
24x12	12	24
24x13	13	24
24x14	14	24
24x15	15	24
24x16	16	24
24x17	17	24
24x18	18	24
24x19	19	24
24x20	20	24
24x21	21	24
24x22	22	24
24x23	23	24
24x24	24	24
24x25	25	24
25x9	9	25
25x10	10	25
25x11	11	25
25x12	12	25
25x13	13	25
25x14	14	25
25x15	15	25
25x16	16	25
25x17	17	25
25x18	18	25
25x19	19	25
25x20	20	25
25x21	21	25
25x22	22	25
25x23	23	25
25x24	24	25
26x11	11	26
26x12	12	26
26x13	13	26
26x14	14	26
26x15	15	26
26x16	16	26
26x17	17	26
26x18	18	26
26x19	19	26
26x20	20	26
26x21	21	26
26x22	22	26
26x23	23	26
27x14	14	27
27x15	15	27
27x17	17	27
27x18	18	27
27x19	19	27
27x20	20	27
27x21	21	27
27x22	22	27
